model,type,horsepower,color_options,price,Fuel Type,Drive Type,Transmission,Miles Per Gallon
Camry XSE Gen1,Sedan,197,White|Black|Red,30977,Hybrid,RWD,Automatic,44
Tacoma TRD Gen2,Truck,284,White|Gray|Black,35962,Gas,FWD,Manual,27
Supra GR Gen3,Coupe,384,Red|Blue|Black,47263,Gas,FWD,Manual,25
Supra GR Gen4,Coupe,373,Red|Blue|Black,44314,Gas,FWD,Manual,25
Mirai XLE Gen5,Sedan,184,Blue|White|Black,50334,Hydrogen,RWD,Automatic,33
Camry XSE Gen6,Sedan,207,White|Black|Red,32492,Hybrid,RWD,Automatic,41
Supra GR Gen7,Coupe,388,Red|Blue|Black,47276,Gas,FWD,Manual,23
Supra GR Gen8,Coupe,375,Red|Blue|Black,47362,Gas,FWD,Manual,19
Tacoma TRD Gen9,Truck,270,White|Gray|Black,37684,Gas,FWD,Manual,25
RAV4 LE Gen10,SUV,193,Silver|Gray|White,26545,Hybrid,4WD,Automatic,37
Mirai XLE Gen11,Sedan,187,Blue|White|Black,48734,Hydrogen,RWD,Automatic,30
Supra GR Gen12,Coupe,381,Red|Blue|Black,47492,Gas,FWD,Manual,22
Venza XLE Gen13,SUV,216,Gray|Black|White,38828,Hybrid,4WD,Automatic,44
Mirai XLE Gen14,Sedan,176,Blue|White|Black,48206,Hydrogen,RWD,Automatic,30
Camry XSE Gen15,Sedan,203,White|Black|Red,31426,Hybrid,RWD,Automatic,44
RAV4 LE Gen16,SUV,210,Silver|Gray|White,26456,Hybrid,4WD,Automatic,32
Venza XLE Gen17,SUV,218,Gray|Black|White,38731,Hybrid,4WD,Automatic,41
Venza XLE Gen18,SUV,217,Gray|Black|White,39484,Hybrid,4WD,Automatic,44
Mirai XLE Gen19,Sedan,173,Blue|White|Black,48809,Hydrogen,RWD,Automatic,28
Venza XLE Gen20,SUV,218,Gray|Black|White,38458,Hybrid,4WD,Automatic,41
Camry XSE Gen21,Sedan,200,White|Black|Red,32557,Hybrid,RWD,Automatic,46
Tacoma TRD Gen22,Truck,286,White|Gray|Black,34912,Gas,FWD,Manual,28
Camry XSE Gen23,Sedan,209,White|Black|Red,32075,Hybrid,RWD,Automatic,45
RAV4 LE Gen24,SUV,209,Silver|Gray|White,28645,Hybrid,4WD,Automatic,34
Mirai XLE Gen25,Sedan,186,Blue|White|Black,51768,Hydrogen,RWD,Automatic,33
Tacoma TRD Gen26,Truck,288,White|Gray|Black,34511,Gas,FWD,Manual,31
RAV4 LE Gen27,SUV,204,Silver|Gray|White,28612,Hybrid,4WD,Automatic,32
Tacoma TRD Gen28,Truck,286,White|Gray|Black,37561,Gas,FWD,Manual,26
Mirai XLE Gen29,Sedan,176,Blue|White|Black,49543,Hydrogen,RWD,Automatic,32
Tacoma TRD Gen30,Truck,276,White|Gray|Black,35630,Gas,FWD,Manual,30
Camry XSE Gen31,Sedan,207,White|Black|Red,29818,Hybrid,RWD,Automatic,44
Camry XSE Gen32,Sedan,205,White|Black|Red,29744,Hybrid,RWD,Automatic,47
Camry XSE Gen33,Sedan,208,White|Black|Red,32820,Hybrid,RWD,Automatic,43
RAV4 LE Gen34,SUV,202,Silver|Gray|White,28901,Hybrid,4WD,Automatic,32
Mirai XLE Gen35,Sedan,179,Blue|White|Black,50899,Hydrogen,RWD,Automatic,29
Supra GR Gen36,Coupe,380,Red|Blue|Black,46587,Gas,FWD,Manual,20
Venza XLE Gen37,SUV,225,Gray|Black|White,40280,Hybrid,4WD,Automatic,46
Mirai XLE Gen38,Sedan,182,Blue|White|Black,49736,Hydrogen,RWD,Automatic,32
Camry XSE Gen39,Sedan,205,White|Black|Red,30928,Hybrid,RWD,Automatic,44
Supra GR Gen40,Coupe,391,Red|Blue|Black,46743,Gas,FWD,Manual,23
Supra GR Gen41,Coupe,372,Red|Blue|Black,46030,Gas,FWD,Manual,21
Mirai XLE Gen42,Sedan,174,Blue|White|Black,48715,Hydrogen,RWD,Automatic,29
Venza XLE Gen43,SUV,215,Gray|Black|White,38108,Hybrid,4WD,Automatic,42
Tacoma TRD Gen44,Truck,269,White|Gray|Black,35304,Gas,FWD,Manual,27
Supra GR Gen45,Coupe,372,Red|Blue|Black,47755,Gas,FWD,Manual,25
Camry XSE Gen46,Sedan,212,White|Black|Red,31345,Hybrid,RWD,Automatic,47
Venza XLE Gen47,SUV,213,Gray|Black|White,40655,Hybrid,4WD,Automatic,45
Tacoma TRD Gen48,Truck,269,White|Gray|Black,36403,Gas,FWD,Manual,30
Venza XLE Gen49,SUV,227,Gray|Black|White,39123,Hybrid,4WD,Automatic,43
Camry XSE Gen50,Sedan,199,White|Black|Red,32336,Hybrid,RWD,Automatic,43
RAV4 LE Gen1,SUV,203,Silver|Gray|White,27177,Hybrid,4WD,Automatic,38
Mirai XLE Gen2,Sedan,184,Blue|White|Black,50324,Hydrogen,RWD,Automatic,29
Venza XLE Gen3,SUV,218,Gray|Black|White,40388,Hybrid,4WD,Automatic,46
Mirai XLE Gen4,Sedan,192,Blue|White|Black,49956,Hydrogen,RWD,Automatic,28
Mirai XLE Gen5,Sedan,178,Blue|White|Black,49962,Hydrogen,RWD,Automatic,29
Venza XLE Gen6,SUV,228,Gray|Black|White,40281,Hybrid,4WD,Automatic,45
Tacoma TRD Gen7,Truck,278,White|Gray|Black,34582,Gas,FWD,Manual,26
Venza XLE Gen8,SUV,223,Gray|Black|White,38348,Hybrid,4WD,Automatic,47
Supra GR Gen9,Coupe,382,Red|Blue|Black,44227,Gas,FWD,Manual,20
Camry XSE Gen10,Sedan,209,White|Black|Red,30081,Hybrid,RWD,Automatic,45
Mirai XLE Gen11,Sedan,189,Blue|White|Black,49144,Hydrogen,RWD,Automatic,30
Tacoma TRD Gen12,Truck,275,White|Gray|Black,35716,Gas,FWD,Manual,29
Mirai XLE Gen13,Sedan,190,Blue|White|Black,48876,Hydrogen,RWD,Automatic,28
Venza XLE Gen14,SUV,228,Gray|Black|White,40673,Hybrid,4WD,Automatic,45
Tacoma TRD Gen15,Truck,286,White|Gray|Black,37998,Gas,FWD,Manual,31
RAV4 LE Gen16,SUV,211,Silver|Gray|White,28896,Hybrid,4WD,Automatic,37
Venza XLE Gen17,SUV,211,Gray|Black|White,37393,Hybrid,4WD,Automatic,42
Camry XSE Gen18,Sedan,198,White|Black|Red,31145,Hybrid,RWD,Automatic,43
Mirai XLE Gen19,Sedan,189,Blue|White|Black,51199,Hydrogen,RWD,Automatic,29
Venza XLE Gen20,SUV,226,Gray|Black|White,39959,Hybrid,4WD,Automatic,42
Tacoma TRD Gen21,Truck,270,White|Gray|Black,35548,Gas,FWD,Manual,30
Tacoma TRD Gen22,Truck,273,White|Gray|Black,36645,Gas,FWD,Manual,29
Tacoma TRD Gen23,Truck,280,White|Gray|Black,37744,Gas,FWD,Manual,27
Mirai XLE Gen24,Sedan,185,Blue|White|Black,50420,Hydrogen,RWD,Automatic,29
Venza XLE Gen25,SUV,212,Gray|Black|White,37695,Hybrid,4WD,Automatic,47
Venza XLE Gen26,SUV,218,Gray|Black|White,37379,Hybrid,4WD,Automatic,46
RAV4 LE Gen27,SUV,207,Silver|Gray|White,29324,Hybrid,4WD,Automatic,36
Venza XLE Gen28,SUV,225,Gray|Black|White,37853,Hybrid,4WD,Automatic,45
Mirai XLE Gen29,Sedan,183,Blue|White|Black,50506,Hydrogen,RWD,Automatic,27
Supra GR Gen30,Coupe,376,Red|Blue|Black,47682,Gas,FWD,Manual,24
Supra GR Gen31,Coupe,375,Red|Blue|Black,44338,Gas,FWD,Manual,19
RAV4 LE Gen32,SUV,197,Silver|Gray|White,26203,Hybrid,4WD,Automatic,35
Tacoma TRD Gen33,Truck,285,White|Gray|Black,36966,Gas,FWD,Manual,30
Venza XLE Gen34,SUV,226,Gray|Black|White,38717,Hybrid,4WD,Automatic,44
RAV4 LE Gen35,SUV,198,Silver|Gray|White,28278,Hybrid,4WD,Automatic,38
Supra GR Gen36,Coupe,382,Red|Blue|Black,45231,Gas,FWD,Manual,25
Mirai XLE Gen37,Sedan,191,Blue|White|Black,50119,Hydrogen,RWD,Automatic,31
Camry XSE Gen38,Sedan,211,White|Black|Red,31431,Hybrid,RWD,Automatic,47
Mirai XLE Gen39,Sedan,186,Blue|White|Black,49413,Hydrogen,RWD,Automatic,32
Venza XLE Gen40,SUV,221,Gray|Black|White,38128,Hybrid,4WD,Automatic,47
Venza XLE Gen41,SUV,226,Gray|Black|White,38821,Hybrid,4WD,Automatic,45
Supra GR Gen42,Coupe,382,Red|Blue|Black,46720,Gas,FWD,Manual,23
Tacoma TRD Gen43,Truck,285,White|Gray|Black,37202,Gas,FWD,Manual,30
Venza XLE Gen44,SUV,217,Gray|Black|White,40836,Hybrid,4WD,Automatic,45
Tacoma TRD Gen45,Truck,270,White|Gray|Black,36533,Gas,FWD,Manual,26
Camry XSE Gen46,Sedan,195,White|Black|Red,31517,Hybrid,RWD,Automatic,47
Supra GR Gen47,Coupe,377,Red|Blue|Black,46882,Gas,FWD,Manual,22
Mirai XLE Gen48,Sedan,173,Blue|White|Black,48409,Hydrogen,RWD,Automatic,28
Venza XLE Gen49,SUV,229,Gray|Black|White,38688,Hybrid,4WD,Automatic,45
RAV4 LE Gen50,SUV,200,Silver|Gray|White,29760,Hybrid,4WD,Automatic,38
RAV4 LE Gen1,SUV,201,Silver|Gray|White,26057,Hybrid,4WD,Automatic,32
RAV4 LE Gen2,SUV,197,Silver|Gray|White,26239,Hybrid,4WD,Automatic,32
RAV4 LE Gen3,SUV,208,Silver|Gray|White,27190,Hybrid,4WD,Automatic,38
Tacoma TRD Gen4,Truck,287,White|Gray|Black,34231,Gas,FWD,Manual,26
Mirai XLE Gen5,Sedan,185,Blue|White|Black,49709,Hydrogen,RWD,Automatic,31
Tacoma TRD Gen6,Truck,270,White|Gray|Black,34864,Gas,FWD,Manual,27
Supra GR Gen7,Coupe,375,Red|Blue|Black,45174,Gas,FWD,Manual,21
Tacoma TRD Gen8,Truck,280,White|Gray|Black,37000,Gas,FWD,Manual,26
Venza XLE Gen9,SUV,229,Gray|Black|White,37564,Hybrid,4WD,Automatic,43
Venza XLE Gen10,SUV,227,Gray|Black|White,38788,Hybrid,4WD,Automatic,47
Venza XLE Gen11,SUV,222,Gray|Black|White,37748,Hybrid,4WD,Automatic,44
Venza XLE Gen12,SUV,227,Gray|Black|White,40478,Hybrid,4WD,Automatic,44
Tacoma TRD Gen13,Truck,269,White|Gray|Black,34955,Gas,FWD,Manual,27
RAV4 LE Gen14,SUV,203,Silver|Gray|White,28013,Hybrid,4WD,Automatic,35
Supra GR Gen15,Coupe,392,Red|Blue|Black,44926,Gas,FWD,Manual,19
Supra GR Gen16,Coupe,380,Red|Blue|Black,45454,Gas,FWD,Manual,22
Supra GR Gen17,Coupe,379,Red|Blue|Black,45615,Gas,FWD,Manual,25
RAV4 LE Gen18,SUV,206,Silver|Gray|White,29200,Hybrid,4WD,Automatic,36
Mirai XLE Gen19,Sedan,181,Blue|White|Black,51577,Hydrogen,RWD,Automatic,31
Tacoma TRD Gen20,Truck,283,White|Gray|Black,35565,Gas,FWD,Manual,29
Mirai XLE Gen21,Sedan,181,Blue|White|Black,50253,Hydrogen,RWD,Automatic,29
Camry XSE Gen22,Sedan,204,White|Black|Red,32425,Hybrid,RWD,Automatic,44
Tacoma TRD Gen23,Truck,279,White|Gray|Black,34966,Gas,FWD,Manual,28
Camry XSE Gen24,Sedan,204,White|Black|Red,29960,Hybrid,RWD,Automatic,45
Venza XLE Gen25,SUV,215,Gray|Black|White,40749,Hybrid,4WD,Automatic,43
RAV4 LE Gen26,SUV,211,Silver|Gray|White,29750,Hybrid,4WD,Automatic,35
Mirai XLE Gen27,Sedan,184,Blue|White|Black,50992,Hydrogen,RWD,Automatic,30
Tacoma TRD Gen28,Truck,268,White|Gray|Black,34060,Gas,FWD,Manual,31
Camry XSE Gen29,Sedan,214,White|Black|Red,31955,Hybrid,RWD,Automatic,46
Tacoma TRD Gen30,Truck,280,White|Gray|Black,36096,Gas,FWD,Manual,30
Mirai XLE Gen31,Sedan,175,Blue|White|Black,51099,Hydrogen,RWD,Automatic,31
Supra GR Gen32,Coupe,383,Red|Blue|Black,47142,Gas,FWD,Manual,20
Camry XSE Gen33,Sedan,195,White|Black|Red,32557,Hybrid,RWD,Automatic,45
Mirai XLE Gen34,Sedan,180,Blue|White|Black,48513,Hydrogen,RWD,Automatic,28
Venza XLE Gen35,SUV,218,Gray|Black|White,37311,Hybrid,4WD,Automatic,44
Mirai XLE Gen36,Sedan,184,Blue|White|Black,50193,Hydrogen,RWD,Automatic,27
Tacoma TRD Gen37,Truck,269,White|Gray|Black,34390,Gas,FWD,Manual,29
Mirai XLE Gen38,Sedan,191,Blue|White|Black,48002,Hydrogen,RWD,Automatic,31
Mirai XLE Gen39,Sedan,187,Blue|White|Black,49031,Hydrogen,RWD,Automatic,31
Mirai XLE Gen40,Sedan,176,Blue|White|Black,48037,Hydrogen,RWD,Automatic,31
Tacoma TRD Gen41,Truck,277,White|Gray|Black,35736,Gas,FWD,Manual,30
Venza XLE Gen42,SUV,215,Gray|Black|White,39630,Hybrid,4WD,Automatic,44
RAV4 LE Gen43,SUV,198,Silver|Gray|White,27798,Hybrid,4WD,Automatic,37
RAV4 LE Gen44,SUV,204,Silver|Gray|White,29151,Hybrid,4WD,Automatic,36
Camry XSE Gen45,Sedan,215,White|Black|Red,30879,Hybrid,RWD,Automatic,44
Venza XLE Gen46,SUV,223,Gray|Black|White,40508,Hybrid,4WD,Automatic,44
RAV4 LE Gen47,SUV,197,Silver|Gray|White,29320,Hybrid,4WD,Automatic,36
Camry XSE Gen48,Sedan,206,White|Black|Red,29232,Hybrid,RWD,Automatic,46
Tacoma TRD Gen49,Truck,279,White|Gray|Black,37055,Gas,FWD,Manual,25
Venza XLE Gen50,SUV,215,Gray|Black|White,37256,Hybrid,4WD,Automatic,47
RAV4 LE Gen1,SUV,211,Silver|Gray|White,26315,Hybrid,4WD,Automatic,34
Mirai XLE Gen2,Sedan,181,Blue|White|Black,51264,Hydrogen,RWD,Automatic,28
RAV4 LE Gen3,SUV,200,Silver|Gray|White,27682,Hybrid,4WD,Automatic,37
RAV4 LE Gen4,SUV,206,Silver|Gray|White,27129,Hybrid,4WD,Automatic,32
Camry XSE Gen5,Sedan,202,White|Black|Red,31510,Hybrid,RWD,Automatic,47
RAV4 LE Gen6,SUV,201,Silver|Gray|White,27026,Hybrid,4WD,Automatic,32
Venza XLE Gen7,SUV,225,Gray|Black|White,40235,Hybrid,4WD,Automatic,46
Camry XSE Gen8,Sedan,198,White|Black|Red,30283,Hybrid,RWD,Automatic,45
Tacoma TRD Gen9,Truck,272,White|Gray|Black,34085,Gas,FWD,Manual,29
Camry XSE Gen10,Sedan,198,White|Black|Red,32589,Hybrid,RWD,Automatic,45
Camry XSE Gen11,Sedan,203,White|Black|Red,30013,Hybrid,RWD,Automatic,42
RAV4 LE Gen12,SUV,201,Silver|Gray|White,28948,Hybrid,4WD,Automatic,38
RAV4 LE Gen13,SUV,201,Silver|Gray|White,29262,Hybrid,4WD,Automatic,38
Mirai XLE Gen14,Sedan,177,Blue|White|Black,50110,Hydrogen,RWD,Automatic,28
Mirai XLE Gen15,Sedan,191,Blue|White|Black,49621,Hydrogen,RWD,Automatic,32
RAV4 LE Gen16,SUV,206,Silver|Gray|White,29685,Hybrid,4WD,Automatic,38
Tacoma TRD Gen17,Truck,278,White|Gray|Black,36841,Gas,FWD,Manual,30
Tacoma TRD Gen18,Truck,273,White|Gray|Black,37213,Gas,FWD,Manual,30
Venza XLE Gen19,SUV,225,Gray|Black|White,39206,Hybrid,4WD,Automatic,47
Camry XSE Gen20,Sedan,208,White|Black|Red,30707,Hybrid,RWD,Automatic,45
Supra GR Gen21,Coupe,390,Red|Blue|Black,47794,Gas,FWD,Manual,22
RAV4 LE Gen22,SUV,207,Silver|Gray|White,29827,Hybrid,4WD,Automatic,37
Camry XSE Gen23,Sedan,198,White|Black|Red,30182,Hybrid,RWD,Automatic,47
Tacoma TRD Gen24,Truck,274,White|Gray|Black,35496,Gas,FWD,Manual,25
RAV4 LE Gen25,SUV,207,Silver|Gray|White,26168,Hybrid,4WD,Automatic,33
Venza XLE Gen26,SUV,222,Gray|Black|White,38485,Hybrid,4WD,Automatic,47
Camry XSE Gen27,Sedan,211,White|Black|Red,32796,Hybrid,RWD,Automatic,46
Venza XLE Gen28,SUV,223,Gray|Black|White,39923,Hybrid,4WD,Automatic,46
Supra GR Gen29,Coupe,391,Red|Blue|Black,44705,Gas,FWD,Manual,24
Tacoma TRD Gen30,Truck,284,White|Gray|Black,34628,Gas,FWD,Manual,31
Tacoma TRD Gen31,Truck,286,White|Gray|Black,34732,Gas,FWD,Manual,28
Tacoma TRD Gen32,Truck,282,White|Gray|Black,36711,Gas,FWD,Manual,28
Tacoma TRD Gen33,Truck,273,White|Gray|Black,36340,Gas,FWD,Manual,26
Mirai XLE Gen34,Sedan,174,Blue|White|Black,50374,Hydrogen,RWD,Automatic,27
Venza XLE Gen35,SUV,211,Gray|Black|White,37579,Hybrid,4WD,Automatic,44
Mirai XLE Gen36,Sedan,191,Blue|White|Black,50118,Hydrogen,RWD,Automatic,29
Venza XLE Gen37,SUV,222,Gray|Black|White,38299,Hybrid,4WD,Automatic,43
Venza XLE Gen38,SUV,228,Gray|Black|White,37123,Hybrid,4WD,Automatic,41
RAV4 LE Gen39,SUV,213,Silver|Gray|White,28459,Hybrid,4WD,Automatic,32
Venza XLE Gen40,SUV,215,Gray|Black|White,37198,Hybrid,4WD,Automatic,47
Venza XLE Gen41,SUV,220,Gray|Black|White,40734,Hybrid,4WD,Automatic,46
Venza XLE Gen42,SUV,210,Gray|Black|White,39635,Hybrid,4WD,Automatic,42
Venza XLE Gen43,SUV,227,Gray|Black|White,40451,Hybrid,4WD,Automatic,45
Venza XLE Gen44,SUV,212,Gray|Black|White,40289,Hybrid,4WD,Automatic,43
Supra GR Gen45,Coupe,375,Red|Blue|Black,46304,Gas,FWD,Manual,22
Tacoma TRD Gen46,Truck,271,White|Gray|Black,34540,Gas,FWD,Manual,31
RAV4 LE Gen47,SUV,210,Silver|Gray|White,28155,Hybrid,4WD,Automatic,38
RAV4 LE Gen48,SUV,205,Silver|Gray|White,28162,Hybrid,4WD,Automatic,35
Camry XSE Gen49,Sedan,215,White|Black|Red,30931,Hybrid,RWD,Automatic,42
Venza XLE Gen50,SUV,213,Gray|Black|White,40517,Hybrid,4WD,Automatic,45
Supra GR Gen1,Coupe,385,Red|Blue|Black,46895,Gas,FWD,Manual,24
Tacoma TRD Gen2,Truck,286,White|Gray|Black,35873,Gas,FWD,Manual,25
Supra GR Gen3,Coupe,377,Red|Blue|Black,45289,Gas,FWD,Manual,20
Mirai XLE Gen4,Sedan,175,Blue|White|Black,50451,Hydrogen,RWD,Automatic,32
Tacoma TRD Gen5,Truck,271,White|Gray|Black,35035,Gas,FWD,Manual,25
Camry XSE Gen6,Sedan,214,White|Black|Red,30782,Hybrid,RWD,Automatic,46
Supra GR Gen7,Coupe,392,Red|Blue|Black,44838,Gas,FWD,Manual,22
Supra GR Gen8,Coupe,381,Red|Blue|Black,46752,Gas,FWD,Manual,19
Mirai XLE Gen9,Sedan,183,Blue|White|Black,51588,Hydrogen,RWD,Automatic,27
Mirai XLE Gen10,Sedan,179,Blue|White|Black,50361,Hydrogen,RWD,Automatic,33
Tacoma TRD Gen11,Truck,277,White|Gray|Black,37566,Gas,FWD,Manual,30
Supra GR Gen12,Coupe,383,Red|Blue|Black,46531,Gas,FWD,Manual,25
RAV4 LE Gen13,SUV,197,Silver|Gray|White,26275,Hybrid,4WD,Automatic,33
Camry XSE Gen14,Sedan,197,White|Black|Red,30287,Hybrid,RWD,Automatic,41
Venza XLE Gen15,SUV,216,Gray|Black|White,38460,Hybrid,4WD,Automatic,45
Camry XSE Gen16,Sedan,212,White|Black|Red,29968,Hybrid,RWD,Automatic,41
Venza XLE Gen17,SUV,223,Gray|Black|White,39624,Hybrid,4WD,Automatic,47
Venza XLE Gen18,SUV,212,Gray|Black|White,40037,Hybrid,4WD,Automatic,47
RAV4 LE Gen19,SUV,196,Silver|Gray|White,26281,Hybrid,4WD,Automatic,32
Supra GR Gen20,Coupe,378,Red|Blue|Black,44484,Gas,FWD,Manual,24
Mirai XLE Gen21,Sedan,191,Blue|White|Black,50171,Hydrogen,RWD,Automatic,30
Supra GR Gen22,Coupe,379,Red|Blue|Black,44489,Gas,FWD,Manual,23
Venza XLE Gen23,SUV,219,Gray|Black|White,40184,Hybrid,4WD,Automatic,46
Tacoma TRD Gen24,Truck,275,White|Gray|Black,34722,Gas,FWD,Manual,28
Venza XLE Gen25,SUV,227,Gray|Black|White,40713,Hybrid,4WD,Automatic,42
Mirai XLE Gen26,Sedan,172,Blue|White|Black,48258,Hydrogen,RWD,Automatic,31
Camry XSE Gen27,Sedan,214,White|Black|Red,31817,Hybrid,RWD,Automatic,45
Supra GR Gen28,Coupe,373,Red|Blue|Black,46045,Gas,FWD,Manual,22
Tacoma TRD Gen29,Truck,270,White|Gray|Black,35028,Gas,FWD,Manual,27
Venza XLE Gen30,SUV,213,Gray|Black|White,38201,Hybrid,4WD,Automatic,43
Mirai XLE Gen31,Sedan,192,Blue|White|Black,48860,Hydrogen,RWD,Automatic,32
Camry XSE Gen32,Sedan,212,White|Black|Red,32486,Hybrid,RWD,Automatic,42
Venza XLE Gen33,SUV,216,Gray|Black|White,38380,Hybrid,4WD,Automatic,44
Supra GR Gen34,Coupe,391,Red|Blue|Black,46621,Gas,FWD,Manual,24
Tacoma TRD Gen35,Truck,286,White|Gray|Black,34730,Gas,FWD,Manual,25
Mirai XLE Gen36,Sedan,177,Blue|White|Black,50232,Hydrogen,RWD,Automatic,31
Supra GR Gen37,Coupe,386,Red|Blue|Black,45240,Gas,FWD,Manual,20
Tacoma TRD Gen38,Truck,282,White|Gray|Black,36173,Gas,FWD,Manual,29
Mirai XLE Gen39,Sedan,192,Blue|White|Black,48803,Hydrogen,RWD,Automatic,31
Venza XLE Gen40,SUV,227,Gray|Black|White,40639,Hybrid,4WD,Automatic,45
Supra GR Gen41,Coupe,391,Red|Blue|Black,44627,Gas,FWD,Manual,21
Supra GR Gen42,Coupe,372,Red|Blue|Black,47130,Gas,FWD,Manual,24
Supra GR Gen43,Coupe,377,Red|Blue|Black,46613,Gas,FWD,Manual,25
Tacoma TRD Gen44,Truck,268,White|Gray|Black,36639,Gas,FWD,Manual,27
Venza XLE Gen45,SUV,223,Gray|Black|White,37179,Hybrid,4WD,Automatic,44
RAV4 LE Gen46,SUV,208,Silver|Gray|White,27486,Hybrid,4WD,Automatic,38
Camry XSE Gen47,Sedan,195,White|Black|Red,29472,Hybrid,RWD,Automatic,41
Mirai XLE Gen48,Sedan,177,Blue|White|Black,48410,Hydrogen,RWD,Automatic,31
Camry XSE Gen49,Sedan,214,White|Black|Red,30116,Hybrid,RWD,Automatic,46
Tacoma TRD Gen50,Truck,283,White|Gray|Black,37546,Gas,FWD,Manual,27
Supra GR Gen1,Coupe,375,Red|Blue|Black,46731,Gas,FWD,Manual,20
RAV4 LE Gen2,SUV,199,Silver|Gray|White,27512,Hybrid,4WD,Automatic,32
RAV4 LE Gen3,SUV,199,Silver|Gray|White,26365,Hybrid,4WD,Automatic,33
Tacoma TRD Gen4,Truck,269,White|Gray|Black,36202,Gas,FWD,Manual,26
Tacoma TRD Gen5,Truck,274,White|Gray|Black,35365,Gas,FWD,Manual,31
RAV4 LE Gen6,SUV,199,Silver|Gray|White,27275,Hybrid,4WD,Automatic,36
Mirai XLE Gen7,Sedan,185,Blue|White|Black,48896,Hydrogen,RWD,Automatic,28
Venza XLE Gen8,SUV,210,Gray|Black|White,37063,Hybrid,4WD,Automatic,41
Supra GR Gen9,Coupe,381,Red|Blue|Black,46534,Gas,FWD,Manual,19
Supra GR Gen10,Coupe,386,Red|Blue|Black,45182,Gas,FWD,Manual,19
Camry XSE Gen11,Sedan,204,White|Black|Red,31971,Hybrid,RWD,Automatic,43
RAV4 LE Gen12,SUV,198,Silver|Gray|White,29752,Hybrid,4WD,Automatic,35
Supra GR Gen13,Coupe,387,Red|Blue|Black,44670,Gas,FWD,Manual,21
Supra GR Gen14,Coupe,392,Red|Blue|Black,46690,Gas,FWD,Manual,21
Venza XLE Gen15,SUV,225,Gray|Black|White,38677,Hybrid,4WD,Automatic,46
Tacoma TRD Gen16,Truck,272,White|Gray|Black,35140,Gas,FWD,Manual,26
Camry XSE Gen17,Sedan,212,White|Black|Red,31725,Hybrid,RWD,Automatic,42
RAV4 LE Gen18,SUV,205,Silver|Gray|White,29444,Hybrid,4WD,Automatic,34
Mirai XLE Gen19,Sedan,187,Blue|White|Black,50954,Hydrogen,RWD,Automatic,28
Mirai XLE Gen20,Sedan,181,Blue|White|Black,51611,Hydrogen,RWD,Automatic,33
Mirai XLE Gen21,Sedan,182,Blue|White|Black,48092,Hydrogen,RWD,Automatic,28
Tacoma TRD Gen22,Truck,272,White|Gray|Black,34784,Gas,FWD,Manual,25
RAV4 LE Gen23,SUV,198,Silver|Gray|White,27343,Hybrid,4WD,Automatic,33
Tacoma TRD Gen24,Truck,278,White|Gray|Black,34591,Gas,FWD,Manual,27
Camry XSE Gen25,Sedan,195,White|Black|Red,32951,Hybrid,RWD,Automatic,43
Supra GR Gen26,Coupe,375,Red|Blue|Black,45450,Gas,FWD,Manual,20
Supra GR Gen27,Coupe,387,Red|Blue|Black,47251,Gas,FWD,Manual,23
Mirai XLE Gen28,Sedan,184,Blue|White|Black,48730,Hydrogen,RWD,Automatic,29
Venza XLE Gen29,SUV,215,Gray|Black|White,39730,Hybrid,4WD,Automatic,41
RAV4 LE Gen30,SUV,205,Silver|Gray|White,27212,Hybrid,4WD,Automatic,35
Supra GR Gen31,Coupe,385,Red|Blue|Black,45563,Gas,FWD,Manual,22
RAV4 LE Gen32,SUV,198,Silver|Gray|White,29565,Hybrid,4WD,Automatic,37
Camry XSE Gen33,Sedan,199,White|Black|Red,29638,Hybrid,RWD,Automatic,42
Supra GR Gen34,Coupe,377,Red|Blue|Black,45379,Gas,FWD,Manual,21
RAV4 LE Gen35,SUV,209,Silver|Gray|White,26843,Hybrid,4WD,Automatic,38
RAV4 LE Gen36,SUV,204,Silver|Gray|White,26768,Hybrid,4WD,Automatic,32
Supra GR Gen37,Coupe,389,Red|Blue|Black,46412,Gas,FWD,Manual,19
RAV4 LE Gen38,SUV,206,Silver|Gray|White,27149,Hybrid,4WD,Automatic,38
Supra GR Gen39,Coupe,386,Red|Blue|Black,44238,Gas,FWD,Manual,23
Mirai XLE Gen40,Sedan,180,Blue|White|Black,48758,Hydrogen,RWD,Automatic,30
Venza XLE Gen41,SUV,210,Gray|Black|White,37522,Hybrid,4WD,Automatic,41
Venza XLE Gen42,SUV,214,Gray|Black|White,40544,Hybrid,4WD,Automatic,42
Supra GR Gen43,Coupe,384,Red|Blue|Black,44265,Gas,FWD,Manual,21
Mirai XLE Gen44,Sedan,188,Blue|White|Black,51243,Hydrogen,RWD,Automatic,29
Mirai XLE Gen45,Sedan,173,Blue|White|Black,49992,Hydrogen,RWD,Automatic,29
RAV4 LE Gen46,SUV,195,Silver|Gray|White,26415,Hybrid,4WD,Automatic,33
Supra GR Gen47,Coupe,375,Red|Blue|Black,44446,Gas,FWD,Manual,20
RAV4 LE Gen48,SUV,203,Silver|Gray|White,29356,Hybrid,4WD,Automatic,36
Mirai XLE Gen49,Sedan,177,Blue|White|Black,51551,Hydrogen,RWD,Automatic,30
Mirai XLE Gen50,Sedan,192,Blue|White|Black,48553,Hydrogen,RWD,Automatic,30
Camry XSE Gen1,Sedan,212,White|Black|Red,30482,Hybrid,RWD,Automatic,41
